Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MRN Radio 1,454.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
2,MRN-1 ts,454.200000,off,0.000000,TSQL,88.5,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
4,MRN 2,454.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
5,MRN-2 ts,454.000000,off,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
7,00 Sheldon C,468.287500,off,0.000000,TSQL,88.5,186.2,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
8,07 Nick Leit,466.312500,off,0.000000,DTCS,88.5,88.5,172,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
9,1 Carson Kva,468.912500,off,0.000000,DTCS,88.5,88.5,205,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
10,2 Jesse Love,469.237500,off,0.000000,DTCS,88.5,88.5,631,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
11,3 RCR,469.375000,off,0.000000,DTCS,88.5,88.5,423,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
12,4 Parker Ret,467.187500,off,0.000000,DTCS,88.5,88.5,351,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
13,5 Kris Wrigh,459.612500,off,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
14,7 Justin All,468.862500,off,0.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
15,8 Sammy Smit,462.787500,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
16,9 Ross Chast,457.887500,off,0.000000,TSQL,88.5,206.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
17,10 Daniel Dy,459.575000,off,0.000000,DTCS,88.5,88.5,734,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
18,11 Josh Will,466.137500,off,0.000000,DTCS,88.5,88.5,371,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
19,14 Garrett S,463.637500,off,0.000000,DTCS,88.5,88.5,143,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
20,16 Christian,468.025000,off,0.000000,TSQL,88.5,71.9,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
21,17 Corey Day,457.987500,off,0.000000,DTCS,88.5,88.5,343,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
22,18 William S,464.787500,off,0.000000,DTCS,88.5,88.5,624,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
23,19 Aric Almi,466.012500,off,0.000000,DTCS,88.5,88.5,506,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
24,20 Brandon J,461.862500,off,0.000000,DTCS,88.5,88.5,152,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
25,21 Austin Hi,456.862500,off,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
26,24 Jeff Earn,453.075000,off,0.000000,DTCS,88.5,88.5,445,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
27,25 Harrison,468.825000,off,0.000000,TSQL,88.5,233.6,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
28,26 Dean Thom,451.637500,off,0.000000,DTCS,88.5,88.5,271,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
29,27 Jeb Burto,459.372500,off,0.000000,DTCS,88.5,88.5,223,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
30,28 Kyle Sieg,452.087500,off,0.000000,DTCS,88.5,88.5,311,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
31,29 JJ Yeley,460.637500,off,0.000000,DTCS,88.5,88.5,261,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
32,31 Blaine Pe,467.175000,off,0.000000,DTCS,88.5,88.5,251,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
33,32 Kathrine,460.025000,off,0.000000,TSQL,88.5,173.8,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
34,35 Glen Reen,458.425000,off,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
35,39 Ryan Sieg,457.012500,off,0.000000,DTCS,88.5,88.5,261,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
36,41 Sam Mayer,451.375000,off,0.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
37,42 Anthony A,469.712500,off,0.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
38,44 Brennan P,453.375000,off,0.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
39,45 Mason Mas,459.912500,off,0.000000,DTCS,88.5,88.5,731,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
40,48 Nick Sanc,468.537500,off,0.000000,DTCS,88.5,88.5,116,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
41,50,469.637500,off,0.000000,DTCS,88.5,88.5,072,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
42,51 Jeremy Cl,469.187500,off,0.000000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
43,53 Mason Mag,461.475000,off,0.000000,TSQL,88.5,118.8,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
44,54 Taylor Gr,464.700000,off,0.000000,DTCS,88.5,88.5,165,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
45,60,458.537500,off,0.000000,DTCS,88.5,88.5,654,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
46,70 Thomas An,461.875000,off,0.000000,DTCS,88.5,88.5,612,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
47,71 Ryan Elli,463.375000,off,0.000000,DTCS,88.5,88.5,156,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
48,74 Carson Wa,461.750000,off,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
49,87  Austn  G,465.725000,off,0.000000,DTCS,88.5,88.5,243,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
50,88 Connor Zi,466.337500,off,0.000000,DTCS,88.5,88.5,732,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
51,91 Myatt Sni,463.062500,off,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
52,92 CJ McLaug,456.625000,off,0.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
53,99 Matt DiBe,460.100000,off,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
57,1 Chastain,463.237500,off,0.000000,DTCS,88.5,88.5,532,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
58,2 Cindric,464.187500,off,0.000000,DTCS,88.5,88.5,226,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
59,3 Dillon,469.012500,off,0.000000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
